SET   SYSTEM                                       UNIT              PBE          PBE-D3             MS2            SCAN          r2SCAN      SCAN-rVV10            MCML      MCML-rVV10      VCML-rVV10             REF
S66x8 CyclopentaneCyclopentane_combined_1.25       [eV]          -0.0221         -0.1011         -0.0245         -0.0270         -0.0243         -0.0541         -0.0296         -0.0526         -0.0608         -0.0751
S66x8 CyclopentaneCyclopentane_combined_1.5        [eV]          -0.0100         -0.0463         -0.0088         -0.0079         -0.0069         -0.0239         -0.0078         -0.0217         -0.0257         -0.0349
S66x8 CyclopentaneCyclopentane_combined_2.0        [eV]          -0.0009         -0.0104         -0.0006         -0.0005         -0.0003         -0.0066          0.0001         -0.0054         -0.0063         -0.0092
S66x8 CyclopentaneNeopentane_combined_0.9          [eV]           0.0921         -0.0821          0.0488          0.0037          0.0229         -0.0488          0.0474          0.0049          0.0262         -0.0724
S66x8 CyclopentaneNeopentane_combined_0.95         [eV]           0.0370         -0.1184          0.0045         -0.0294         -0.0151         -0.0763         -0.0031         -0.0413         -0.0320         -0.0997
S66x8 CyclopentaneNeopentane_combined_1.0          [eV]           0.0075         -0.1308         -0.0164         -0.0412         -0.0305         -0.0831         -0.0264         -0.0608         -0.0594         -0.1059
S66x8 CyclopentaneNeopentane_combined_1.05         [eV]          -0.0080         -0.1299         -0.0251         -0.0427         -0.0348         -0.0803         -0.0352         -0.0662         -0.0697         -0.1021
S66x8 CyclopentaneNeopentane_combined_1.1          [eV]          -0.0156         -0.1219         -0.0275         -0.0394         -0.0336         -0.0731         -0.0364         -0.0644         -0.0706         -0.0937
S66x8 CyclopentaneNeopentane_combined_1.25         [eV]          -0.0182         -0.0869         -0.0211         -0.0237         -0.0212         -0.0480         -0.0249         -0.0456         -0.0529         -0.0643
S66x8 CyclopentaneNeopentane_combined_1.5          [eV]          -0.0093         -0.0411         -0.0083         -0.0070         -0.0066         -0.0215         -0.0072         -0.0199         -0.0236         -0.0311
S66x8 CyclopentaneNeopentane_combined_2.0          [eV]          -0.0010         -0.0095         -0.0007         -0.0002         -0.0003         -0.0058          0.0000         -0.0050         -0.0058         -0.0084
S66x8 EthenePentane_combined_0.9                   [eV]           0.0426         -0.0740          0.0048         -0.0280         -0.0133         -0.0599         -0.0081         -0.0334         -0.0203         -0.0714
S66x8 EthenePentane_combined_0.95                  [eV]           0.0104         -0.0964         -0.0179         -0.0435         -0.0326         -0.0723         -0.0347         -0.0577         -0.0523         -0.0853
S66x8 EthenePentane_combined_1.0                   [eV]          -0.0068         -0.1034         -0.0273         -0.0465         -0.0384         -0.0725         -0.0451         -0.0661         -0.0657         -0.0862
S66x8 EthenePentane_combined_1.05                  [eV]          -0.0153         -0.1020         -0.0297         -0.0434         -0.0375         -0.0668         -0.0468         -0.0658         -0.0685         -0.0807
S66x8 EthenePentane_combined_1.1                   [eV]          -0.0187         -0.0960         -0.0285         -0.0379         -0.0336         -0.0589         -0.0439         -0.0612         -0.0655         -0.0726
S66x8 EthenePentane_combined_1.25                  [eV]          -0.0168         -0.0678         -0.0187         -0.0209         -0.0191         -0.0361         -0.0270         -0.0398         -0.0447         -0.0474
S66x8 EthenePentane_combined_1.5                   [eV]          -0.0074         -0.0301         -0.0065         -0.0061         -0.0056         -0.0150         -0.0076         -0.0153         -0.0176         -0.0215
S66x8 EthenePentane_combined_2.0                   [eV]          -0.0007         -0.0063         -0.0005         -0.0004         -0.0004         -0.0036         -0.0001         -0.0030         -0.0036         -0.0053
S66x8 EthyneAcOHOHpi_combined_0.9                  [eV]          -0.1587         -0.2128         -0.2059         -0.2281         -0.2053         -0.2466         -0.2254         -0.2399         -0.2153         -0.1892
S66x8 EthyneAcOHOHpi_combined_0.95                 [eV]          -0.1790         -0.2314         -0.2195         -0.2391         -0.2202         -0.2562         -0.2433         -0.2569         -0.2379         -0.2101
S66x8 EthyneAcOHOHpi_combined_1.0                  [eV]          -0.1829         -0.2331         -0.2169         -0.2343         -0.2189         -0.2501         -0.2430         -0.2557         -0.2413         -0.2128
S66x8 EthyneAcOHOHpi_combined_1.05                 [eV]          -0.1772         -0.2250         -0.2053         -0.2207         -0.2080         -0.2353         -0.2322         -0.2439         -0.2335         -0.2050
S66x8 EthyneAcOHOHpi_combined_1.1                  [eV]          -0.1663         -0.2114         -0.1890         -0.2024         -0.1923         -0.2158         -0.2158         -0.2266         -0.2195         -0.1914
S66x8 EthyneAcOHOHpi_combined_1.25                 [eV]          -0.1244         -0.1596         -0.1356         -0.1437         -0.1387         -0.1540         -0.1584         -0.1669         -0.1660         -0.1415
S66x8 EthyneAcOHOHpi_combined_1.5                  [eV]          -0.0684         -0.0876         -0.0711         -0.0741         -0.0727         -0.0805         -0.0826         -0.0880         -0.0897         -0.0770
S66x8 EthyneAcOHOHpi_combined_2.0                  [eV]          -0.0211         -0.0259         -0.0212         -0.0219         -0.0218         -0.0244         -0.0219         -0.0240         -0.0246         -0.0242
S66x8 EthyneEthyneTS_combined_0.9                  [eV]          -0.0378         -0.0654         -0.0504         -0.0505         -0.0420         -0.0591         -0.0521         -0.0589         -0.0522         -0.0522
S66x8 EthyneEthyneTS_combined_0.95                 [eV]          -0.0500         -0.0770         -0.0600         -0.0595         -0.0531         -0.0673         -0.0631         -0.0694         -0.0662         -0.0635
S66x8 EthyneEthyneTS_combined_1.0                  [eV]          -0.0538         -0.0793         -0.0614         -0.0605         -0.0556         -0.0675         -0.0650         -0.0707         -0.0700         -0.0657
S66x8 EthyneEthyneTS_combined_1.05                 [eV]          -0.0528         -0.0762         -0.0583         -0.0568         -0.0534         -0.0631         -0.0618         -0.0669         -0.0678         -0.0631
S66x8 EthyneEthyneTS_combined_1.1                  [eV]          -0.0494         -0.0703         -0.0532         -0.0516         -0.0490         -0.0572         -0.0560         -0.0606         -0.0624         -0.0582
S66x8 EthyneEthyneTS_combined_1.25                 [eV]          -0.0351         -0.0496         -0.0360         -0.0341         -0.0334         -0.0381         -0.0363         -0.0396         -0.0417         -0.0405
S66x8 EthyneEthyneTS_combined_1.5                  [eV]          -0.0172         -0.0236         -0.0171         -0.0164         -0.0163         -0.0186         -0.0159         -0.0178         -0.0186         -0.0201
S66x8 EthyneEthyneTS_combined_2.0                  [eV]          -0.0047         -0.0061         -0.0048         -0.0047         -0.0049         -0.0054         -0.0045         -0.0052         -0.0053         -0.0059
S66x8 EthynePentane_combined_0.9                   [eV]           0.0545         -0.0492          0.0125         -0.0163          0.0002         -0.0459         -0.0301         -0.0535         -0.0391         -0.0453
S66x8 EthynePentane_combined_0.95                  [eV]           0.0153         -0.0790         -0.0165         -0.0399         -0.0279         -0.0666         -0.0594         -0.0807         -0.0729         -0.0678
S66x8 EthynePentane_combined_1.0                   [eV]          -0.0054         -0.0895         -0.0287         -0.0472         -0.0385         -0.0711         -0.0693         -0.0885         -0.0854         -0.0736
S66x8 EthynePentane_combined_1.05                  [eV]          -0.0155         -0.0896         -0.0320         -0.0461         -0.0399         -0.0674         -0.0685         -0.0859         -0.0859         -0.0710
S66x8 EthynePentane_combined_1.1                   [eV]          -0.0197         -0.0842         -0.0309         -0.0411         -0.0369         -0.0601         -0.0624         -0.0780         -0.0800         -0.0646
S66x8 EthynePentane_combined_1.25                  [eV]          -0.0177         -0.0572         -0.0202         -0.0235         -0.0222         -0.0368         -0.0369         -0.0481         -0.0515         -0.0419
S66x8 EthynePentane_combined_1.5                   [eV]          -0.0080         -0.0240         -0.0073         -0.0074         -0.0073         -0.0147         -0.0103         -0.0167         -0.0186         -0.0183
S66x8 EthynePentane_combined_2.0                   [eV]          -0.0013         -0.0048         -0.0011         -0.0011         -0.0011         -0.0034         -0.0008         -0.0030         -0.0034         -0.0043
S66x8 EthyneWaterCHO_combined_0.9                  [eV]          -0.1048         -0.1245         -0.1156         -0.1191         -0.1086         -0.1256         -0.1029         -0.1080         -0.0942         -0.1131
S66x8 EthyneWaterCHO_combined_0.95                 [eV]          -0.1153         -0.1344         -0.1243         -0.1263         -0.1179         -0.1323         -0.1163         -0.1210         -0.1119         -0.1246
S66x8 EthyneWaterCHO_combined_1.0                  [eV]          -0.1169         -0.1355         -0.1241         -0.1251         -0.1183         -0.1306         -0.1195         -0.1239         -0.1184         -0.1261
S66x8 EthyneWaterCHO_combined_1.05                 [eV]          -0.1132         -0.1313         -0.1189         -0.1191         -0.1137         -0.1241         -0.1167         -0.1207         -0.1179         -0.1217
S66x8 EthyneWaterCHO_combined_1.1                  [eV]          -0.1067         -0.1238         -0.1110         -0.1107         -0.1063         -0.1152         -0.1103         -0.1140         -0.1131         -0.1142
S66x8 EthyneWaterCHO_combined_1.25                 [eV]          -0.0821         -0.0948         -0.0836         -0.0826         -0.0805         -0.0860         -0.0836         -0.0864         -0.0877         -0.0869
S66x8 EthyneWaterCHO_combined_1.5                  [eV]          -0.0485         -0.0551         -0.0485         -0.0482         -0.0476         -0.0503         -0.0473         -0.0491         -0.0498         -0.0513
S66x8 EthyneWaterCHO_combined_2.0                  [eV]          -0.0185         -0.0200         -0.0186         -0.0192         -0.0191         -0.0200         -0.0182         -0.0189         -0.0189         -0.0200
S66x8 MeNH2MeNH2_combined_0.9                      [eV]          -0.1079         -0.1758         -0.1169         -0.1571         -0.1410         -0.1770         -0.1118         -0.1274         -0.1029         -0.1615
S66x8 MeNH2MeNH2_combined_0.95                     [eV]          -0.1291         -0.1935         -0.1363         -0.1695         -0.1564         -0.1880         -0.1365         -0.1510         -0.1329         -0.1784
S66x8 MeNH2MeNH2_combined_1.0                      [eV]          -0.1362         -0.1968         -0.1415         -0.1688         -0.1581         -0.1859         -0.1457         -0.1593         -0.1466         -0.1806
S66x8 MeNH2MeNH2_combined_1.05                     [eV]          -0.1348         -0.1914         -0.1382         -0.1605         -0.1517         -0.1762         -0.1454         -0.1579         -0.1496         -0.1741
S66x8 MeNH2MeNH2_combined_1.1                      [eV]          -0.1284         -0.1810         -0.1303         -0.1480         -0.1410         -0.1625         -0.1391         -0.1507         -0.1460         -0.1629
S66x8 MeNH2MeNH2_combined_1.25                     [eV]          -0.0989         -0.1389         -0.0974         -0.1054         -0.1020         -0.1166         -0.1064         -0.1155         -0.1166         -0.1211
S66x8 MeNH2MeNH2_combined_1.5                      [eV]          -0.0476         -0.0658         -0.0448         -0.0457         -0.0450         -0.0519         -0.0466         -0.0519         -0.0542         -0.0568
S66x8 MeNH2MeNH2_combined_2.0                      [eV]          -0.0136         -0.0175         -0.0127         -0.0131         -0.0131         -0.0152         -0.0122         -0.0141         -0.0145         -0.0169
S66x8 MeNH2MeOH_combined_0.9                       [eV]          -0.0817         -0.1422         -0.0934         -0.1175         -0.1047         -0.1340         -0.1078         -0.1209         -0.1057         -0.1241
S66x8 MeNH2MeOH_combined_0.95                      [eV]          -0.0958         -0.1522         -0.1046         -0.1240         -0.1136         -0.1391         -0.1205         -0.1326         -0.1224         -0.1335
S66x8 MeNH2MeOH_combined_1.0                       [eV]          -0.0999         -0.1521         -0.1062         -0.1216         -0.1131         -0.1355         -0.1228         -0.1340         -0.1277         -0.1328
S66x8 MeNH2MeOH_combined_1.05                      [eV]          -0.0980         -0.1461         -0.1023         -0.1142         -0.1075         -0.1269         -0.1188         -0.1292         -0.1258         -0.1265
S66x8 MeNH2MeOH_combined_1.1                       [eV]          -0.0928         -0.1365         -0.0954         -0.1045         -0.0991         -0.1161         -0.1112         -0.1207         -0.1196         -0.1173
S66x8 MeNH2MeOH_combined_1.25                      [eV]          -0.0708         -0.1013         -0.0704         -0.0739         -0.0713         -0.0828         -0.0815         -0.0888         -0.0909         -0.0860
S66x8 MeNH2MeOH_combined_1.5                       [eV]          -0.0401         -0.0554         -0.0386         -0.0394         -0.0384         -0.0449         -0.0419         -0.0467         -0.0486         -0.0479
S66x8 MeNH2MeOH_combined_2.0                       [eV]          -0.0139         -0.0179         -0.0134         -0.0139         -0.0137         -0.0160         -0.0131         -0.0150         -0.0154         -0.0172
S66x8 MeNH2Peptide_combined_0.9                    [eV]          -0.1135         -0.2150         -0.1526         -0.2038         -0.1814         -0.2352         -0.1773         -0.2024         -0.1748         -0.2172
S66x8 MeNH2Peptide_combined_0.95                   [eV]          -0.1396         -0.2359         -0.1726         -0.2172         -0.1986         -0.2466         -0.2004         -0.2238         -0.2034         -0.2346
S66x8 MeNH2Peptide_combined_1.0                    [eV]          -0.1507         -0.2417         -0.1780         -0.2165         -0.2011         -0.2438         -0.2074         -0.2294         -0.2150         -0.2365
S66x8 MeNH2Peptide_combined_1.05                   [eV]          -0.1521         -0.2376         -0.1743         -0.2071         -0.1944         -0.2325         -0.2043         -0.2248         -0.2154         -0.2288
S66x8 MeNH2Peptide_combined_1.1                    [eV]          -0.1477         -0.2275         -0.1654         -0.1930         -0.1826         -0.2165         -0.1949         -0.2140         -0.2085         -0.2158
S66x8 MeNH2Peptide_combined_1.25                   [eV]          -0.1029         -0.1558         -0.1073         -0.1181         -0.1140         -0.1344         -0.1262         -0.1397         -0.1426         -0.1401
S66x8 MeNH2Peptide_combined_1.5                    [eV]          -0.0465         -0.0683         -0.0456         -0.0471         -0.0464         -0.0556         -0.0483         -0.0556         -0.0579         -0.0613
S66x8 MeNH2Peptide_combined_2.0                    [eV]          -0.0149         -0.0199         -0.0147         -0.0153         -0.0150         -0.0182         -0.0142         -0.0168         -0.0172         -0.0199
S66x8 MeNH2Pyridine_combined_0.9                   [eV]          -0.0334         -0.1450         -0.0765         -0.1248         -0.1050         -0.1585         -0.1137         -0.1406         -0.1155         -0.1490
S66x8 MeNH2Pyridine_combined_0.95                  [eV]          -0.0626         -0.1673         -0.0986         -0.1404         -0.1245         -0.1717         -0.1378         -0.1628         -0.1446         -0.1678
S66x8 MeNH2Pyridine_combined_1.0                   [eV]          -0.0778         -0.1752         -0.1072         -0.1431         -0.1301         -0.1719         -0.1468         -0.1700         -0.1576         -0.1719
S66x8 MeNH2Pyridine_combined_1.05                  [eV]          -0.0840         -0.1741         -0.1074         -0.1376         -0.1272         -0.1642         -0.1462         -0.1677         -0.1601         -0.1670
S66x8 MeNH2Pyridine_combined_1.1                   [eV]          -0.0845         -0.1674         -0.1027         -0.1277         -0.1195         -0.1523         -0.1396         -0.1596         -0.1555         -0.1571
S66x8 MeNH2Pyridine_combined_1.25                  [eV]          -0.0711         -0.1329         -0.0784         -0.0913         -0.0873         -0.1102         -0.1056         -0.1213         -0.1232         -0.1181
S66x8 MeNH2Pyridine_combined_1.5                   [eV]          -0.0428         -0.0764         -0.0429         -0.0463         -0.0451         -0.0582         -0.0535         -0.0638         -0.0667         -0.0657
S66x8 MeNH2Pyridine_combined_2.0                   [eV]          -0.0143         -0.0232         -0.0137         -0.0140         -0.0139         -0.0186         -0.0136         -0.0177         -0.0185         -0.0218
S66x8 MeNH2Water_combined_0.9                      [eV]          -0.3001         -0.3423         -0.3039         -0.3564         -0.3340         -0.3690         -0.2873         -0.2970         -0.2747         -0.2964
S66x8 MeNH2Water_combined_0.95                     [eV]          -0.3162         -0.3569         -0.3197         -0.3630         -0.3437         -0.3748         -0.3098         -0.3190         -0.2996         -0.3153
S66x8 MeNH2Water_combined_1.0                      [eV]          -0.3153         -0.3542         -0.3177         -0.3540         -0.3374         -0.3650         -0.3142         -0.3228         -0.3066         -0.3166
S66x8 MeNH2Water_combined_1.05                     [eV]          -0.3039         -0.3408         -0.3049         -0.3353         -0.3213         -0.3457         -0.3058         -0.3139         -0.3009         -0.3066
S66x8 MeNH2Water_combined_1.1                      [eV]          -0.2865         -0.3213         -0.2861         -0.3120         -0.2998         -0.3216         -0.2897         -0.2973         -0.2872         -0.2900
S66x8 MeNH2Water_combined_1.25                     [eV]          -0.2227         -0.2519         -0.2194         -0.2346         -0.2273         -0.2423         -0.2260         -0.2322         -0.2287         -0.2270
S66x8 MeNH2Water_combined_1.5                      [eV]          -0.1335         -0.1524         -0.1293         -0.1348         -0.1317         -0.1399         -0.1342         -0.1385         -0.1401         -0.1369
S66x8 MeNH2Water_combined_2.0                      [eV]          -0.0493         -0.0551         -0.0472         -0.0484         -0.0478         -0.0507         -0.0467         -0.0485         -0.0497         -0.0520
S66x8 MeOHMeNH2_combined_0.9                       [eV]          -0.2969         -0.3632         -0.2977         -0.3510         -0.3308         -0.3696         -0.2740         -0.2886         -0.2664         -0.3065
S66x8 MeOHMeNH2_combined_0.95                      [eV]          -0.3167         -0.3796         -0.3174         -0.3607         -0.3434         -0.3782         -0.3009         -0.3147         -0.2953         -0.3274
S66x8 MeOHMeNH2_combined_1.0                       [eV]          -0.3185         -0.3775         -0.3183         -0.3540         -0.3392         -0.3703         -0.3090         -0.3219         -0.3058         -0.3297
S66x8 MeOHMeNH2_combined_1.05                      [eV]          -0.3090         -0.3638         -0.3075         -0.3372         -0.3247         -0.3524         -0.3035         -0.3156         -0.3027         -0.3202
S66x8 MeOHMeNH2_combined_1.1                       [eV]          -0.2929         -0.3434         -0.2901         -0.3149         -0.3044         -0.3291         -0.2896         -0.3009         -0.2908         -0.3038
S66x8 MeOHMeNH2_combined_1.25                      [eV]          -0.2304         -0.2700         -0.2252         -0.2395         -0.2332         -0.2509         -0.2289         -0.2382         -0.2347         -0.2392
S66x8 MeOHMeNH2_combined_1.5                       [eV]          -0.1398         -0.1639         -0.1344         -0.1392         -0.1368         -0.1468         -0.1381         -0.1445         -0.1462         -0.1454
S66x8 MeOHMeNH2_combined_2.0                       [eV]          -0.0523         -0.0598         -0.0497         -0.0505         -0.0502         -0.0538         -0.0488         -0.0517         -0.0532         -0.0554
S66x8 MeOHMeOH_combined_0.9                        [eV]          -0.2076         -0.2543         -0.2320         -0.2689         -0.2479         -0.2845         -0.2423         -0.2546         -0.2331         -0.2340
S66x8 MeOHMeOH_combined_0.95                       [eV]          -0.2246         -0.2693         -0.2453         -0.2760         -0.2581         -0.2906         -0.2605         -0.2720         -0.2548         -0.2510
S66x8 MeOHMeOH_combined_1.0                        [eV]          -0.2271         -0.2695         -0.2439         -0.2700         -0.2546         -0.2835         -0.2618         -0.2727         -0.2593         -0.2525
S66x8 MeOHMeOH_combined_1.05                       [eV]          -0.2206         -0.2606         -0.2339         -0.2560         -0.2430         -0.2686         -0.2530         -0.2631         -0.2531         -0.2447
S66x8 MeOHMeOH_combined_1.1                        [eV]          -0.2090         -0.2468         -0.2193         -0.2379         -0.2269         -0.2497         -0.2384         -0.2479         -0.2407         -0.2314
S66x8 MeOHMeOH_combined_1.25                       [eV]          -0.1641         -0.1956         -0.1680         -0.1788         -0.1723         -0.1881         -0.1848         -0.1925         -0.1911         -0.1809
S66x8 MeOHMeOH_combined_1.5                        [eV]          -0.1002         -0.1200         -0.1001         -0.1039         -0.1012         -0.1102         -0.1095         -0.1148         -0.1166         -0.1101
S66x8 MeOHMeOH_combined_2.0                        [eV]          -0.0392         -0.0454         -0.0387         -0.0398         -0.0391         -0.0425         -0.0390         -0.0414         -0.0422         -0.0440
S66x8 MeOHPeptide_combined_0.9                     [eV]          -0.2942         -0.3648         -0.3317         -0.3837         -0.3559         -0.4075         -0.3405         -0.3596         -0.3323         -0.3376
S66x8 MeOHPeptide_combined_0.95                    [eV]          -0.3151         -0.3832         -0.3488         -0.3933         -0.3691         -0.4159         -0.3633         -0.3814         -0.3588         -0.3586
S66x8 MeOHPeptide_combined_1.0                     [eV]          -0.3187         -0.3840         -0.3479         -0.3867         -0.3656         -0.4079         -0.3670         -0.3842         -0.3660         -0.3612
S66x8 MeOHPeptide_combined_1.05                    [eV]          -0.3112         -0.3737         -0.3359         -0.3700         -0.3517         -0.3900         -0.3577         -0.3739         -0.3599         -0.3519
S66x8 MeOHPeptide_combined_1.1                     [eV]          -0.2971         -0.3567         -0.3177         -0.3475         -0.3318         -0.3663         -0.3406         -0.3559         -0.3453         -0.3355
S66x8 MeOHPeptide_combined_1.25                    [eV]          -0.2399         -0.2910         -0.2506         -0.2704         -0.2606         -0.2858         -0.2726         -0.2853         -0.2825         -0.2701
S66x8 MeOHPeptide_combined_1.5                     [eV]          -0.1423         -0.1748         -0.1439         -0.1517         -0.1478         -0.1620         -0.1571         -0.1658         -0.1686         -0.1591
S66x8 MeOHPeptide_combined_2.0                     [eV]          -0.0425         -0.0499         -0.0418         -0.0432         -0.0425         -0.0467         -0.0415         -0.0447         -0.0457         -0.0479
S66x8 MeOHPyridine_combined_0.9                    [eV]          -0.2873         -0.3527         -0.2830         -0.3345         -0.3143         -0.3556         -0.2577         -0.2748         -0.2517         -0.3011
S66x8 MeOHPyridine_combined_0.95                   [eV]          -0.3060         -0.3677         -0.3034         -0.3449         -0.3274         -0.3648         -0.2853         -0.3013         -0.2812         -0.3229
S66x8 MeOHPyridine_combined_1.0                    [eV]          -0.3076         -0.3653         -0.3052         -0.3395         -0.3242         -0.3581         -0.2944         -0.3094         -0.2926         -0.3261
S66x8 MeOHPyridine_combined_1.05                   [eV]          -0.2983         -0.3519         -0.2957         -0.3241         -0.3109         -0.3415         -0.2900         -0.3042         -0.2906         -0.3176
S66x8 MeOHPyridine_combined_1.1                    [eV]          -0.2827         -0.3324         -0.2796         -0.3032         -0.2920         -0.3194         -0.2775         -0.2907         -0.2801         -0.3019
S66x8 MeOHPyridine_combined_1.25                   [eV]          -0.2228         -0.2626         -0.2184         -0.2319         -0.2250         -0.2450         -0.2214         -0.2323         -0.2285         -0.2396
S66x8 MeOHPyridine_combined_1.5                    [eV]          -0.1364         -0.1619         -0.1321         -0.1364         -0.1336         -0.1454         -0.1360         -0.1436         -0.1452         -0.1476
S66x8 MeOHPyridine_combined_2.0                    [eV]          -0.0529         -0.0616         -0.0509         -0.0519         -0.0511         -0.0560         -0.0504         -0.0540         -0.0552         -0.0582
S66x8 MeOHWater_combined_0.9                       [eV]          -0.2007         -0.2277         -0.2187         -0.2424         -0.2256         -0.2522         -0.2252         -0.2330         -0.2131         -0.2031
S66x8 MeOHWater_combined_0.95                      [eV]          -0.2136         -0.2396         -0.2284         -0.2479         -0.2339         -0.2570         -0.2395         -0.2467         -0.2309         -0.2182
S66x8 MeOHWater_combined_1.0                       [eV]          -0.2138         -0.2385         -0.2255         -0.2416         -0.2301         -0.2502         -0.2390         -0.2457         -0.2335         -0.2195
S66x8 MeOHWater_combined_1.05                      [eV]          -0.2064         -0.2299         -0.2152         -0.2289         -0.2191         -0.2368         -0.2298         -0.2361         -0.2270         -0.2125
S66x8 MeOHWater_combined_1.1                       [eV]          -0.1946         -0.2171         -0.2011         -0.2125         -0.2044         -0.2198         -0.2159         -0.2217         -0.2152         -0.2007
S66x8 MeOHWater_combined_1.25                      [eV]          -0.1519         -0.1713         -0.1537         -0.1599         -0.1555         -0.1656         -0.1671         -0.1718         -0.1704         -0.1566
S66x8 MeOHWater_combined_1.5                       [eV]          -0.0931         -0.1049         -0.0922         -0.0943         -0.0928         -0.0980         -0.0994         -0.1025         -0.1038         -0.0958
S66x8 MeOHWater_combined_2.0                       [eV]          -0.0375         -0.0408         -0.0368         -0.0378         -0.0376         -0.0393         -0.0369         -0.0383         -0.0387         -0.0394
S66x8 NeopentaneNeopentane_combined_0.9            [eV]           0.0417         -0.0928          0.0172         -0.0032          0.0095         -0.0443          0.0203         -0.0134         -0.0073         -0.0644
S66x8 NeopentaneNeopentane_combined_0.95           [eV]           0.0132         -0.1057         -0.0054         -0.0200         -0.0100         -0.0569         -0.0051         -0.0355         -0.0360         -0.0762
S66x8 NeopentaneNeopentane_combined_1.0            [eV]          -0.0024         -0.1063         -0.0160         -0.0254         -0.0185         -0.0585         -0.0169         -0.0444         -0.0489         -0.0776
S66x8 NeopentaneNeopentane_combined_1.05           [eV]          -0.0105         -0.1003         -0.0201         -0.0264         -0.0208         -0.0560         -0.0210         -0.0459         -0.0525         -0.0736
S66x8 NeopentaneNeopentane_combined_1.1            [eV]          -0.0141         -0.0914         -0.0206         -0.0243         -0.0201         -0.0508         -0.0211         -0.0436         -0.0510         -0.0673
S66x8 NeopentaneNeopentane_combined_1.25           [eV]          -0.0135         -0.0625         -0.0146         -0.0141         -0.0124         -0.0332         -0.0138         -0.0303         -0.0364         -0.0460
S66x8 NeopentaneNeopentane_combined_1.5            [eV]          -0.0061         -0.0284         -0.0052         -0.0042         -0.0036         -0.0155         -0.0035         -0.0135         -0.0161         -0.0222
S66x8 NeopentaneNeopentane_combined_2.0            [eV]          -0.0005         -0.0065         -0.0002         -0.0006         -0.0000         -0.0048          0.0003         -0.0036         -0.0043         -0.0060
S66x8 NeopentanePentane_combined_0.9               [eV]           0.0851         -0.0928          0.0401         -0.0059          0.0135         -0.0598          0.0333         -0.0104          0.0102         -0.0830
S66x8 NeopentanePentane_combined_0.95              [eV]           0.0299         -0.1297         -0.0038         -0.0390         -0.0244         -0.0873         -0.0169         -0.0562         -0.0479         -0.1102
S66x8 NeopentanePentane_combined_1.0               [eV]           0.0014         -0.1400         -0.0232         -0.0491         -0.0385         -0.0924         -0.0385         -0.0740         -0.0737         -0.1150
S66x8 NeopentanePentane_combined_1.05              [eV]          -0.0128         -0.1366         -0.0302         -0.0485         -0.0410         -0.0872         -0.0451         -0.0772         -0.0816         -0.1092
S66x8 NeopentanePentane_combined_1.1               [eV]          -0.0191         -0.1268         -0.0309         -0.0438         -0.0380         -0.0785         -0.0442         -0.0732         -0.0801         -0.0990
S66x8 NeopentanePentane_combined_1.25              [eV]          -0.0191         -0.0885         -0.0216         -0.0243         -0.0223         -0.0494         -0.0281         -0.0495         -0.0570         -0.0657
S66x8 NeopentanePentane_combined_1.5               [eV]          -0.0087         -0.0403         -0.0077         -0.0068         -0.0064         -0.0216         -0.0076         -0.0206         -0.0241         -0.0308
S66x8 NeopentanePentane_combined_2.0               [eV]          -0.0008         -0.0092         -0.0005         -0.0004         -0.0003         -0.0061          0.0001         -0.0050         -0.0059         -0.0083
S66x8 PentaneAcNH2_combined_0.9                    [eV]           0.0395         -0.1361         -0.0240         -0.0808         -0.0591         -0.1321         -0.0752         -0.1163         -0.0950         -0.1385
S66x8 PentaneAcNH2_combined_0.95                   [eV]          -0.0001         -0.1615         -0.0499         -0.0971         -0.0801         -0.1441         -0.1022         -0.1400         -0.1285         -0.1534
S66x8 PentaneAcNH2_combined_1.0                    [eV]          -0.0224         -0.1695         -0.0606         -0.0991         -0.0859         -0.1421         -0.1112         -0.1461         -0.1416         -0.1535
S66x8 PentaneAcNH2_combined_1.05                   [eV]          -0.0340         -0.1670         -0.0626         -0.0932         -0.0831         -0.1324         -0.1095         -0.1416         -0.1420         -0.1454
S66x8 PentaneAcNH2_combined_1.1                    [eV]          -0.0389         -0.1584         -0.0597         -0.0835         -0.0759         -0.1193         -0.1019         -0.1313         -0.1349         -0.1332
S66x8 PentaneAcNH2_combined_1.25                   [eV]          -0.0356         -0.1177         -0.0420         -0.0517         -0.0487         -0.0786         -0.0679         -0.0905         -0.0970         -0.0928
S66x8 PentaneAcNH2_combined_1.5                    [eV]          -0.0189         -0.0583         -0.0181         -0.0193         -0.0187         -0.0358         -0.0249         -0.0391         -0.0434         -0.0460
S66x8 PentaneAcNH2_combined_2.0                    [eV]          -0.0036         -0.0137         -0.0030         -0.0028         -0.0030         -0.0090         -0.0026         -0.0082         -0.0092         -0.0123
S66x8 PentaneAcOH_combined_0.9                     [eV]           0.0378         -0.1223         -0.0161         -0.0659         -0.0486         -0.1121         -0.0687         -0.1058         -0.0914         -0.1189
S66x8 PentaneAcOH_combined_0.95                    [eV]           0.0089         -0.1385         -0.0339         -0.0758         -0.0621         -0.1183         -0.0859         -0.1204         -0.1128         -0.1274
S66x8 PentaneAcOH_combined_1.0                     [eV]          -0.0086         -0.1433         -0.0420         -0.0764         -0.0658         -0.1156         -0.0914         -0.1233         -0.1209         -0.1263
S66x8 PentaneAcOH_combined_1.05                    [eV]          -0.0186         -0.1410         -0.0441         -0.0719         -0.0636         -0.1079         -0.0897         -0.1191         -0.1203         -0.1197
